"from","to","strength","direction"
"D7","D26",0.95,0.909473684210526
"D7","D29",0.542,0.774907749077491
"D7","D30",0.518,0.716216216216216
"D7","D32",0.46,0.721739130434783
"D7","D34",0.422,0.822274881516588
"D7","D36",0.692,0.390173410404624
"D7","D37",1,0.062
"D7","D42",0.39,0.428205128205128
"D8","D1",0.58,0.648275862068966
"D8","D2",0.038,0.710526315789474
"D8","D4",0.654,0.584097859327217
"D8","D5",0.626,0.539936102236422
"D8","D6",0.464,0.364224137931035
"D8","D7",0.364,0.475274725274725
"D8","D9",0.27,0.433333333333333
"D8","D10",0.754,0.785145888594164
"D8","D11",0.164,0.378048780487805
"D8","D15",0.078,0.294871794871795
"D8","D17",0.06,0.583333333333333
"D8","D18",0.546,0.525641025641026
"D8","D19",0.822,0.768856447688564
"D8","D20",0.748,0.495989304812834
"D8","D21",0.126,0.619047619047619
"D8","D22",0.028,0.357142857142857
"D8","D23",0.348,0.497126436781609
"D8","D24",0.486,0.594650205761317
"D8","D26",0.14,0.45
"D8","D29",0.398,0.587939698492462
"D8","D30",0.636,0.630503144654088
"D8","D32",0.386,0.652849740932642
"D8","D34",0.416,0.762019230769231
"D8","D36",0.898,0.138084632516704
"D8","D37",0.874,0.097254004576659
"D8","D42",0.588,0.532312925170068
"D9","D1",0.482,0.477178423236515
"D9","D2",0.054,0.537037037037037
"D9","D4",0.464,0.353448275862069
"D9","D5",0.842,0.785035629453682
"D9","D6",0.176,0.482954545454546
"D9","D7",0.356,0.567415730337079
"D9","D8",0.27,0.566666666666667
"D9","D10",0.234,0.700854700854701
"D9","D11",0.778,0.169665809768638
"D9","D15",0.142,0.450704225352113
"D9","D17",0.068,0.676470588235294
"D9","D18",0.546,0.58058608058608
"D9","D19",0.446,0.668161434977579
"D9","D20",0.094,0.531914893617021
"D9","D21",0.262,0.461832061068702
"D9","D22",0.018,0.166666666666667
"D9","D23",0.5,0.36
"D9","D24",0.044,0.772727272727273
"D9","D26",0.63,0.231746031746032
"D9","D29",0.37,0.286486486486487
"D9","D30",0.44,0.570454545454545
"D9","D32",0.584,0.464041095890411
"D9","D34",0.336,0.482142857142857
"D9","D36",0.34,0.444117647058824
"D9","D37",0.186,0.543010752688172
"D9","D42",0.422,0.497630331753554
"D10","D1",0.59,0.491525423728814
"D10","D2",0.02,0.3
"D10","D4",0.91,0.117582417582418
"D10","D5",0.28,0.45
"D10","D6",0.182,0.230769230769231
"D10","D7",0.438,0.141552511415525
"D10","D8",0.754,0.214854111405836
"D10","D9",0.234,0.299145299145299
"D10","D11",0.39,0.133333333333333
"D10","D15",0.076,0.18421052631579
"D10","D17",0.22,0.8
"D10","D18",0.33,0.36969696969697
"D10","D19",0.73,0.435616438356164
"D10","D20",0.16,0.1
"D10","D21",0.104,0.634615384615385
"D10","D22",0.012,0.0833333333333333
"D10","D23",0.674,0.482195845697329
"D10","D24",0.098,0.193877551020408
"D10","D26",0.018,0.111111111111111
"D10","D29",0.202,0.579207920792079
"D10","D30",0.396,0.686868686868687
"D10","D32",0.124,0.516129032258065
"D10","D34",0.558,0.460573476702509
"D10","D36",0.476,0.172268907563025
"D10","D37",0.488,0.0922131147540984
"D10","D42",0.186,0.387096774193548
"D11","D1",0.282,0.74468085106383
"D11","D2",0.066,0.636363636363636
"D11","D4",0.288,0.784722222222222
"D11","D5",0.244,0.778688524590164
"D11","D6",0.294,0.714285714285714
"D11","D7",0.09,0.477777777777778
"D11","D8",0.164,0.621951219512195
"D11","D9",0.778,0.830334190231362
